Well,Day,Area (um2),Perimeter (um),Equivalent diameter (um),Equivalent volume (um3),Form factor,Solidity,Eccentricity,Normalized mean intensity,Normalized median intensity,Normalized sum intensity,Normalized upper quartile intensity,Normalized lower quartile intensity,Granularity,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,Angular second moment,Organoid_index,Condition
E09,T10,58076.25454,1264.540665,271.9282698,5922215.779,0.456397087,0.932242289,0.330376252,0.818477147,1.022222222,67177.33034,0.670588235,1.44,2.175071606,9.989174118,2.325353841,0.363186694,0.047574973,0.972233441,0.002279981,18_0,NAM TREAT 0.5
E09,T10,74250.57332,1432.848207,307.4715697,8561227.623,0.454474276,0.942032809,0.342283973,0.53965517,0.6,58809.46182,0.435294118,0.92,3.044401092,7.023518996,1.492746814,0.5509258,0.098086213,0.976654671,0.009661013,21_0,NAM TREAT 0.5
E09,T10,27019.06694,915.929163,185.4770727,1879281.541,0.40472165,0.902411919,0.735292432,0.987928759,1.266666667,31431.9414,0.776470588,1.88,2.313565545,14.59020039,2.874721601,0.303483227,0.040131202,0.968116144,0.001623506,23_0,NAM TREAT 0.5
E09,T10,3348.723473,307.2608115,65.29722161,81998.37701,0.445733016,0.878418002,0.68611218,1.047529291,1.333333333,786.6944979,0.788235294,2.16,20,27.05261171,4.02813577,0.223583352,0.057513868,0.878337254,0.003314285,27_0,NAM TREAT 0.5
E09,T10,101317.7317,1713.916372,359.1681258,13646287.42,0.433427105,0.930326871,0.704499717,0.640121487,0.666666667,98908.3715,0.564705882,0.88,1.463329327,6.605963681,1.523153719,0.543490948,0.083101062,0.990519894,0.006929645,29_0,NAM TREAT 0.5
E09,T10,86519.86772,1600.703353,331.9043793,10768621.12,0.424330258,0.914618932,0.647050368,0.686351936,0.777777778,88905.22529,0.564705882,1.04,2.507861415,16.4236957,2.673718053,0.3821237,0.05858821,0.974260873,0.003449224,33_0,NAM TREAT 0.5
E09,T10,52633.86403,1451.637856,258.8735542,5109568.295,0.313876317,0.859911917,0.407859285,1.134923986,1.4,77636.74513,0.964705882,1.88,2.031649168,35.2678147,4.375034152,0.228449496,0.026427349,0.965835081,0.000703562,35_0,NAM TREAT 0.5
E09,T10,41409.32352,1060.458263,229.6170469,3565607.468,0.462722736,0.932596834,0.368489933,0.795310854,0.955555556,44220.07881,0.647058824,1.36,2.007473361,12.0130944,2.484476,0.357054495,0.048775813,0.973263734,0.00239189,36_0,NAM TREAT 0.5
E09,T10,66846.31228,1504.505563,291.7385271,7313116.758,0.371107492,0.9000091,0.708818313,1.198669545,1.377777778,113040.5314,1.129411765,1.6,1.262819757,18.42454398,3.061123151,0.31331084,0.032399311,0.991112991,0.001056392,40_0,NAM TREAT 0.5
E09,T10,86820.89409,1491.376648,332.4812712,10824870.46,0.490523073,0.954783121,0.472574644,1.229990217,1.488888889,162093.0307,1.023529412,2.04,3.879173537,37.95130664,4.541111949,0.222534596,0.02522959,0.972335002,0.000641049,43_0,NAM TREAT 0.5
E09,T10,41330.03764,1216.021966,229.3971192,3555371.84,0.351230988,0.880109384,0.771285384,1.202899382,1.488888889,63137.78278,1.011764706,2.04,3.598712905,41.28356315,4.799361183,0.208801341,0.025353229,0.960545875,0.000646624,45_0,NAM TREAT 0.5
E09,T10,36706.50126,1035.025471,216.1854966,2975779.952,0.430576953,0.929591373,0.532726944,1.195568175,1.511111111,56255.06935,1,2.04,1.813493642,20.3737174,3.292481204,0.286333486,0.031869706,0.976005799,0.001022158,48_0,NAM TREAT 0.5
E09,T10,71381.20445,1382.025075,301.4720091,8069788.169,0.469636551,0.951620505,0.471271634,0.577955807,0.666666667,60341.47599,0.447058824,1,2.327735369,6.614942112,1.737937599,0.465374946,0.076852247,0.974252576,0.005935761,53_0,NAM TREAT 0.5
E09,T10,66621.19238,1299.693323,291.2468655,7276205.046,0.49561049,0.963353757,0.174029994,0.625709524,0.711111111,61410.88692,0.494117647,1.04,4.455984465,10.34463551,2.153434632,0.414898188,0.064766743,0.975880492,0.004217968,57_0,NAM TREAT 0.5
E09,T10,50467.92986,1254.463604,253.4911518,4797440.125,0.403003877,0.912780392,0.638242834,0.760573045,0.911111111,51549.35926,0.635294118,1.24,2.489828601,19.47621864,3.053634776,0.337207105,0.044931129,0.965238339,0.002030431,9_0,NAM TREAT 0.5
E10,T10,59110.35033,1223.957115,274.3385419,6081092.744,0.495839356,0.955861582,0.679055075,1.124909311,1.408163265,95744.40622,0.9,2.115384615,0.743010844,4.647728201,1.51551058,0.480089373,0.050626212,0.992254441,0.002579942,13_0,NAM TREAT 0.5
E10,T10,77706.65766,1473.914171,314.5460053,9165869.532,0.449493799,0.941620624,0.387211112,0.965186287,1.06122449,111476.1206,0.811111111,1.5,1.903620202,8.05608147,1.92327452,0.434286855,0.04407357,0.993542517,0.001954699,31_0,NAM TREAT 0.5
E10,T10,36138.76239,1077.895871,214.5071126,2907008.091,0.390867466,0.92602831,0.831767758,0.964969144,1.081632653,42728.83368,0.733333333,1.730769231,1.618551939,16.1421295,2.682777983,0.355960462,0.04562555,0.982116787,0.002094808,35_0,NAM TREAT 0.5
E10,T10,29685.41197,890.726212,194.4135808,2164217.715,0.470180354,0.947755,0.700411868,1.220123519,1.530612245,45365.41255,0.933333333,2.5,0.974152853,15.39520539,2.947130608,0.299582191,0.041030953,0.957530755,0.001695608,38_0,NAM TREAT 0.5
E10,T10,102720.9617,1744.695153,361.6467759,13930764.24,0.424062463,0.923748565,0.293855108,0.532266378,0.510204082,82939.87613,0.455555556,0.769230769,2.346655289,4.972418678,1.213424606,0.625073587,0.119064352,0.990969512,0.014207871,39_0,NAM TREAT 0.5
E10,T10,69007.56728,1501.006462,296.417212,7670636.512,0.384894281,0.891260337,0.727252363,1.022969418,1.244897959,99631.08346,0.911111111,1.5,0.779225586,8.078478353,1.937431963,0.439030299,0.044969956,0.993599116,0.002033448,40_0,NAM TREAT 0.5
E10,T10,78138.18079,1514.890083,315.4181696,9242325.737,0.427869091,0.927668492,0.346334758,0.65457449,0.734693878,74938.96048,0.5,1.153846154,0.625322001,1.987987383,0.899716539,0.638930522,0.090459374,0.995430177,0.008214432,48_0,NAM TREAT 0.5
E10,T10,22077.08728,764.4867641,167.658643,1388030.435,0.474691765,0.946789298,0.619476281,1.135168816,1.428571429,28258.8925,0.888888889,2.307692308,1.974524068,9.654757707,2.304104564,0.361282652,0.044701189,0.978087278,0.002018073,49_0,NAM TREAT 0.5
E10,T10,107592.234,1805.823051,370.1225297,14933366.18,0.414610603,0.932688841,0.603655594,0.444015724,0.469387755,72952.22755,0.355555556,0.730769231,3.750409818,4.851952838,1.236794954,0.606920644,0.1279378,0.983004035,0.016405667,56_0,NAM TREAT 0.5
E10,T10,35123.90318,1013.104214,211.4737395,2785418.681,0.430035582,0.928198505,0.390831894,0.912922545,1.06122449,40391.34509,0.711111111,1.692307692,1.348100638,4.787990237,1.557284045,0.473263029,0.06063772,0.990368822,0.003698849,5_0,NAM TREAT 0.5
E10,T10,47171.45708,1460.193071,245.0725699,4335161.33,0.278015231,0.818848853,0.711939045,0.989457304,1.204081633,56694.91406,0.833333333,1.769230769,0.777099892,5.114886746,1.588953683,0.475008818,0.049160414,0.992541425,0.002434044,6_0,NAM TREAT 0.5
E11,T10,100182.7739,1763.272544,357.1507656,13417632.9,0.40491515,0.928777655,0.65210403,0.466363712,0.533333333,70323.45055,0.337209302,0.8,1.684476207,2.977375367,0.933062539,0.667202052,0.130243714,0.988432874,0.017010345,12_0,BHB TREAT 5.0
E11,T10,93396.42276,1620.120353,344.84202,12077629.16,0.447142088,0.941452844,0.213367724,0.705739858,0.8,100038.6249,0.558139535,1.16,3.77232047,6.539617605,1.658095942,0.487050177,0.069993364,0.986769488,0.00492244,13_0,BHB TREAT 5.0
E11,T10,23771.98536,810.6761621,173.975377,1550902.543,0.454548797,0.912790466,0.78681087,0.979190537,1.222222222,26472.41618,0.76744186,1.8,1.699528436,7.365841078,1.980006931,0.403646477,0.051674148,0.981679277,0.002689733,14_0,BHB TREAT 5.0
E11,T10,95904.71594,1831.575736,349.4419506,12567424.13,0.359252719,0.873126504,0.545473661,0.761022635,0.844444444,108188.4999,0.639534884,1.16,2.582942353,6.906917046,1.727047163,0.479863431,0.061464489,0.990837742,0.003795394,16_0,BHB TREAT 5.0
E11,T10,70002.92997,1378.253681,298.547314,7837195.018,0.463092513,0.951040603,0.531925576,0.716668214,0.777777778,73808.226,0.581395349,1.12,1.05809561,6.073221963,1.680918782,0.473420666,0.065963725,0.99035692,0.004373715,18_0,BHB TREAT 5.0
E11,T10,66693.71946,1389.253118,291.4053551,7288090.127,0.434242216,0.944009243,0.548341286,0.827510469,1.022222222,79728.15118,0.744186047,1.16,0.849693402,7.359205873,1.761774879,0.480253294,0.054527608,0.991449161,0.002984898,19_0,BHB TREAT 5.0
E11,T10,28531.73748,839.3906486,190.5983642,2039288.434,0.508873494,0.949134807,0.475598753,0.894786724,1.133333333,31575.23391,0.709302326,1.64,1.457207108,9.774660565,2.261214098,0.376063671,0.04888311,0.973345332,0.002409985,22_0,BHB TREAT 5.0
E11,T10,41867.88183,1014.951102,230.8849125,3624998.337,0.510740873,0.95809142,0.430551329,1.110620988,1.333333333,62751.19645,0.941860465,1.88,1.277883034,18.29963324,3.050304657,0.314854526,0.033972287,0.98073203,0.001162477,23_0,BHB TREAT 5.0
E11,T10,59181.8376,1338.44242,274.5043824,6092127.667,0.415144153,0.930573722,0.703635725,0.954978629,1.2,80236.3494,0.76744186,1.72,1.251271829,8.713308835,2.096021615,0.397301827,0.045791772,0.982560579,0.002114787,24_0,BHB TREAT 5.0
E11,T10,69668.88948,1554.918751,297.8341571,7781165.615,0.362104023,0.880653906,0.563661183,0.936421108,1.111111111,91848.86433,0.744186047,1.6,1.002383637,7.883031712,1.948510577,0.429753099,0.047968253,0.990304439,0.002320169,25_0,BHB TREAT 5.0
E11,T10,64961.90796,1379.798259,287.5970621,7006070.204,0.428782893,0.931308463,0.590810318,0.6580101,0.733333333,61803.59864,0.534883721,1,1.862165015,7.290130062,1.672702125,0.510914952,0.077131374,0.986536682,0.005971394,28_0,BHB TREAT 5.0
E11,T10,44189.00836,1081.232452,237.1986359,3930589.689,0.474991651,0.948699632,0.507547301,0.678349972,0.8,40811.56939,0.534883721,1.16,1.610219165,7.598193092,1.831241286,0.462767655,0.067608201,0.979627159,0.004594781,29_0,BHB TREAT 5.0
E11,T10,40588.90966,1127.494319,227.3310468,3460169.747,0.401225498,0.890137392,0.590201093,1.19703853,1.533333333,61590.02642,0.941860465,2.28,1.719567133,17.57342882,3.147832871,0.280579187,0.034796479,0.97037744,0.001222192,32_0,BHB TREAT 5.0
E11,T10,27490.36298,937.7603679,187.0877261,1928666.062,0.392831757,0.856970365,0.661545297,0.458063216,0.555555556,14757.42264,0.348837209,0.84,1.600474896,1.228558977,0.715137262,0.691062976,0.128897498,0.989183278,0.01667767,35_0,BHB TREAT 5.0
E11,T10,76615.11211,1420.551616,312.3289779,8973419.872,0.477100936,0.937188175,0.574564348,0.469189027,0.533333333,53221.04966,0.348837209,0.76,2.175058954,2.01106602,0.729399712,0.726398642,0.144187839,0.992941503,0.020824165,36_0,BHB TREAT 5.0
E11,T10,80724.20013,1493.216251,320.5951401,9704919.843,0.454954745,0.954440674,0.539238364,0.985701256,1.2,118846.9861,0.802325581,1.64,3.614292429,10.2565925,2.260269398,0.386534265,0.043537278,0.986764182,0.001907207,39_0,BHB TREAT 5.0
E11,T10,61465.01088,1335.860546,279.7493208,6448048.142,0.432828232,0.92408645,0.54145394,1.033129337,1.2,90835.83068,0.860465116,1.68,1.761469702,16.28246429,2.760304673,0.347717581,0.039304116,0.984381782,0.001553647,40_0,BHB TREAT 5.0
E11,T10,59533.29499,1332.144038,275.318262,6146476.241,0.421567783,0.912704897,0.548809762,1.153482335,1.422222222,95668.67135,0.965116279,1.92,1.622700271,16.30194671,2.917338713,0.313870474,0.033821753,0.983322661,0.001151047,44_0,BHB TREAT 5.0
E11,T10,39859.99951,1023.108807,225.2805531,3367381.027,0.47852376,0.939667851,0.498050427,1.322203431,1.755555556,69821.59657,1.186046512,2.04,1.196736817,12.90851328,2.560210028,0.349263768,0.031960829,0.992394214,0.001027356,45_0,BHB TREAT 5.0
E11,T10,53312.34316,1214.912201,260.5367221,5208683.675,0.453887108,0.949458567,0.654920437,0.908492909,1.088888889,67540.99679,0.755813953,1.44,1.023380528,6.237336254,1.65864964,0.48183757,0.052129662,0.992799144,0.002731331,46_0,BHB TREAT 5.0
E11,T10,48200.8737,1246.915668,247.7322314,4477841.249,0.389574579,0.903192966,0.665854794,0.817912902,1.022222222,52946.77377,0.651162791,1.44,2.494344948,6.938754524,1.874775706,0.427704249,0.054141654,0.985356801,0.002946485,49_0,BHB TREAT 5.0
E11,T10,37511.05794,1026.752846,218.5419006,3074151.711,0.447133641,0.938066387,0.702379308,0.774374474,0.955555556,37635.37381,0.61627907,1.32,2.096767054,5.135321013,1.585576851,0.478976994,0.061549064,0.987505704,0.003807633,50_0,BHB TREAT 5.0
E11,T10,48225.30935,1091.092107,247.7950179,4481246.773,0.509051895,0.947055941,0.553123897,0.665117023,0.733333333,44874.78044,0.558139535,1,1.09503339,4.634643471,1.358292823,0.55565992,0.076867567,0.993119391,0.005927504,52_0,BHB TREAT 5.0
E11,T10,118635.5868,1820.431362,388.6534709,17290549.71,0.449858809,0.93256092,0.552784799,0.631416691,0.733333333,117495.2807,0.523255814,0.96,3.31553267,6.03526587,1.554141194,0.520102986,0.070691851,0.988506514,0.005017133,53_0,BHB TREAT 5.0
E11,T10,36972.69384,1020.95446,216.9679605,3008208.741,0.445736519,0.934984683,0.460507209,0.722914216,0.866666667,35085.19566,0.581395349,1.24,3.339777327,10.53503131,2.285607621,0.384398815,0.053628472,0.975588006,0.002893273,57_0,BHB TREAT 5.0
E11,T10,42229.21747,1220.155704,231.8790841,3672027.1,0.356444886,0.861967601,0.570871402,0.690015555,0.8,37171.82797,0.581395349,1.04,1.760709055,3.635235477,1.306673008,0.532866156,0.067420875,0.993624231,0.004574698,7_0,BHB TREAT 5.0
E11,T10,64577.95636,1360.303642,286.745894,6944048.936,0.438553357,0.932963034,0.768410274,0.84621425,1.022222222,78065.8032,0.720930233,1.36,1.401138005,10.0687548,2.223534837,0.394725844,0.049337311,0.982208694,0.002447123,8_0,BHB TREAT 5.0
E12,T10,84701.49163,1579.989199,328.3980643,10430927.21,0.426375937,0.935798867,0.621568675,0.507486831,0.652173913,64239.20549,0.37755102,0.962962963,2.6187485,3.570317713,1.152584157,0.595571265,0.10221528,0.984570306,0.010484737,10_0,BHB TREAT 5.0
E12,T10,82134.96882,1583.765741,323.3844312,9960438.814,0.411486955,0.933147468,0.487524779,0.743852539,0.97826087,90625.78633,0.591836735,1.333333333,2.748670413,8.045574465,1.925897027,0.433577883,0.055015296,0.984111111,0.003044088,11_0,BHB TREAT 5.0
E12,T10,98701.29777,1620.107918,354.5002051,13121111.36,0.472546812,0.961313322,0.449916337,1.340894299,1.934782609,204093.4986,1.040816327,2.703703704,2.729714947,14.38029669,2.71329693,0.32820485,0.036730035,0.979901147,0.001358373,14_0,BHB TREAT 5.0
